,id,address,tower_name,building_type,rooms,garages,useful_area,latitude,longitude,point_estimate,minimum_estimate,maximum_estimate
19488,19488,"Rua Francisco José da Silva, 292",Torre única,Apartamento,3,2,72,-23.62651920,-46.74035200,858113,712234,1012570
19489,19489,"Rua Francisco Jose da Silva, 352",Torre única,Apartamento,2,1,51,-23.62615450,-46.74058700,607830,504499,717240
19490,19490,"Rua Francisco Jose da Silva, 352",Torre única,Apartamento,3,2,69,-23.62615450,-46.74058700,822358,682558,970383
19491,19491,"Rua Francisco Jose da Silva, 67",Torre única,Apartamento,3,3,175,-23.62639470,-46.74000300,1242420,1056060,1428790
19492,19492,"Rua Francisco Jose da Silva, 67",Torre única,Cobertura,4,5,286,-23.62639470,-46.74000300,2030470,1725900,2335040
19493,19493,"Rua Francisco José da Silva, 97",Torre única,Apartamento,1,1,38,-23.62630870,-46.74004870,452893,375901,534414
19494,19494,"Rua Francisco Leitao, 104",Torre única,Apartamento,1,1,58,-23.56350900,-46.67951320,550290,484255,621828
19495,19495,"Rua Francisco Leitao, 115",Torre única,Apartamento,1,1,45,-23.56347510,-46.67966070,565478,480656,650299
19496,19496,"Rua Francisco Leitao, 115",Torre única,Apartamento,2,-1,71,-23.56347510,-46.67966070,892198,758368,1026030
19497,19497,"Rua Francisco Leitao, 124",Torre única,Apartamento,2,-1,80,-23.56335290,-46.67970280,293908,278121,353939
19498,19498,"Rua Francisco Leitao, 177",Torre única,Apartamento,4,3,170,-23.56318090,-46.68012700,2448270,2081030,2815510
19499,19499,"Rua Francisco Leitao, 177",Torre única,Cobertura,4,4,340,-23.56318090,-46.68012700,4896540,4162060,5631020
19500,19500,"Rua Francisco Leitao, 205",Torre única,Apartamento,2,1,85,-23.56283400,-46.68011530,735603,625262,845943
19501,19501,"Rua Francisco Leitao, 235",Torre única,Apartamento,3,1,147,-23.56265870,-46.68043370,1445810,1228940,1662680
19502,19502,"Rua Francisco Leitao, 26",Torre única,Apartamento,2,-1,76,-23.56401590,-46.67915650,948144,786960,1118810
19503,19503,"Rua Francisco Leitao, 381",Torre única,Apartamento,3,3,100,-23.56141470,-46.68118060,1307480,1085210,1542820
19504,19504,"Rua Francisco Leitao, 381",Torre única,Apartamento,3,2,120,-23.56141470,-46.68118060,1568970,1302250,1851390
19505,19505,"Rua Francisco Leitao, 381",Torre única,Cobertura,3,3,150,-23.56141470,-46.68118060,1961220,1627810,2314230
19506,19506,"Rua Francisco Leitao, 411",Torre única,Apartamento,3,1,103,-23.56125020,-46.68128780,974751,828538,1120960
19507,19507,"Rua Francisco Leitao, 474",Torre única,Apartamento,2,2,107,-23.56066210,-46.68144400,1059340,847469,1271200
19508,19508,"Rua Francisco Leitao, 474",Torre única,Cobertura,3,3,240,-23.56066210,-46.68144400,2376080,1900860,2851300
19509,19509,"Rua Francisco Leitao, 479",Torre única,Apartamento,3,2,100,-23.56076390,-46.68162840,1165380,990572,1340190
19510,19510,"Rua Francisco Leitao, 479",Torre única,Cobertura,3,2,155,-23.56076390,-46.68162840,1806340,1535390,2077290
19511,19511,"Rua Francisco Leitao, 486",Torre única,Apartamento,1,-1,38,-23.56056930,-46.68148940,474072,393480,559405
19512,19512,"Rua Francisco Leitao, 607",Torre única,Apartamento,2,1,100,-23.55972270,-46.68227760,1074140,913017,1235260
19513,19513,"Rua Francisco Leitao, 614",Torre única,Apartamento,2,2,130,-23.55965400,-46.68235740,1235360,1050060,1420670
19514,19514,"Rua Francisco Leitao, 614",Torre única,Cobertura,3,2,290,-23.55965400,-46.68235740,2755810,2342440,3169180
